Split,Ruta,Resolución,Corrupta
Training,data/raw/Training\meningioma\m1(10).jpg,"(228, 221)",False
Training,data/raw/Training\meningioma\m1(100).jpg,"(213, 237)",False
Training,data/raw/Training\meningioma\m1(11).jpg,"(226, 212)",False
Training,data/raw/Training\meningioma\m1(12).jpg,"(212, 237)",False
Training,data/raw/Training\meningioma\m1(122).jpg,"(200, 223)",False
Training,data/raw/Training\meningioma\m1(126).jpg,"(201, 207)",False
Training,data/raw/Training\meningioma\m1(13).jpg,"(209, 225)",False
Training,data/raw/Training\meningioma\m1(139).jpg,"(205, 251)",False
Training,data/raw/Training\meningioma\m1(140).jpg,"(204, 249)",False
Training,data/raw/Training\meningioma\m1(157).jpg,"(234, 216)",False
Training,data/raw/Training\meningioma\m1(160).jpg,"(217, 232)",False
Training,data/raw/Training\meningioma\m1(162).jpg,"(216, 216)",False
Training,data/raw/Training\meningioma\m1(165).jpg,"(206, 245)",False
Training,data/raw/Training\meningioma\m1(178).jpg,"(208, 243)",False
Training,data/raw/Training\meningioma\m1(179).jpg,"(221, 228)",False
Training,data/raw/Training\meningioma\m1(180).jpg,"(200, 252)",False
Training,data/raw/Training\meningioma\m1(181).jpg,"(226, 214)",False
Training,data/raw/Training\meningioma\m1(182).jpg,"(200, 236)",False
Training,data/raw/Training\meningioma\m1(183).jpg,"(238, 212)",False
Training,data/raw/Training\meningioma\m1(185).jpg,"(212, 238)",False
Training,data/raw/Training\meningioma\m1(186).jpg,"(215, 220)",False
Training,data/raw/Training\meningioma\m1(187).jpg,"(201, 251)",False
Training,data/raw/Training\meningioma\m1(189).jpg,"(212, 237)",False
Training,data/raw/Training\meningioma\m1(193).jpg,"(224, 219)",False
Training,data/raw/Training\meningioma\m1(194).jpg,"(200, 223)",False
Training,data/raw/Training\meningioma\m1(195).jpg,"(200, 235)",False
Training,data/raw/Training\meningioma\m1(196).jpg,"(209, 241)",False
Training,data/raw/Training\meningioma\m1(197).jpg,"(211, 239)",False
Training,data/raw/Training\meningioma\m1(198).jpg,"(215, 234)",False
Training,data/raw/Training\meningioma\m1(2).jpg,"(201, 251)",False
Training,data/raw/Training\meningioma\m1(200).jpg,"(213, 237)",False
Training,data/raw/Training\meningioma\m1(201).jpg,"(214, 216)",False
Training,data/raw/Training\meningioma\m1(202).jpg,"(201, 251)",False
Training,data/raw/Training\meningioma\m1(3).jpg,"(214, 235)",False
