Ruta,Resolución Original,Redimensionada,Resolución Final,Válida,Corrupta,Hash,Split,Clase
data/raw/Training\glioma\gg (1).jpg,"(512, 512)",False,"(512, 512)",True,False,c7d96e8939666438,Training,glioma
data/raw/Training\glioma\gg (10).jpg,"(512, 512)",False,"(512, 512)",True,False,816e3eb1388771da,Training,glioma
data/raw/Training\glioma\gg (100).jpg,"(512, 512)",False,"(512, 512)",True,False,933c1a7069636d67,Training,glioma
data/raw/Training\glioma\gg (101).jpg,"(512, 512)",False,"(512, 512)",True,False,952e1e786a786963,Training,glioma
data/raw/Training\glioma\gg (102).jpg,"(512, 512)",False,"(512, 512)",True,False,956a1e796a386963,Training,glioma
data/raw/Training\glioma\gg (103).jpg,"(512, 512)",False,"(512, 512)",True,False,963c3b606c636567,Training,glioma
data/raw/Training\glioma\gg (104).jpg,"(512, 512)",False,"(512, 512)",True,False,94393b6968636567,Training,glioma
data/raw/Training\glioma\gg (105).jpg,"(512, 512)",False,"(512, 512)",True,False,94783f6968796361,Training,glioma
data/raw/Training\glioma\gg (106).jpg,"(512, 512)",False,"(512, 512)",True,False,956e3b6a6a386361,Training,glioma
data/raw/Training\glioma\gg (107).jpg,"(512, 512)",False,"(512, 512)",True,False,957a1f6b6a186169,Training,glioma
data/raw/Training\glioma\gg (108).jpg,"(512, 512)",False,"(512, 512)",True,False,913c5b64696165e7,Training,glioma
data/raw/Training\glioma\gg (109).jpg,"(512, 512)",False,"(512, 512)",True,False,903f5a7f68686561,Training,glioma
data/raw/Training\glioma\gg (11).jpg,"(512, 512)",False,"(512, 512)",True,False,c7267af039936583,Training,glioma
data/raw/Training\glioma\gg (110).jpg,"(512, 512)",False,"(512, 512)",True,False,942f1e3a7a786c61,Training,glioma
data/raw/Training\glioma\gg (111).jpg,"(512, 512)",False,"(512, 512)",True,False,941b5f5a3a7e2868,Training,glioma
data/raw/Training\glioma\gg (112).jpg,"(512, 512)",False,"(512, 512)",True,False,940b571d1efb181e,Training,glioma
data/raw/Training\glioma\gg (113).jpg,"(512, 512)",False,"(512, 512)",True,False,900b575d1adb187e,Training,glioma
data/raw/Training\glioma\gg (114).jpg,"(512, 512)",False,"(512, 512)",True,False,900b1f4f3a1a38fb,Training,glioma
data/raw/Training\glioma\gg (115).jpg,"(512, 512)",False,"(512, 512)",True,False,902f1b5e7b1a2a71,Training,glioma
data/raw/Training\glioma\gg (116).jpg,"(512, 512)",False,"(512, 512)",True,False,957a3a6168e16567,Training,glioma
data/raw/Training\glioma\gg (117).jpg,"(512, 512)",False,"(512, 512)",True,False,976b3a6168c36566,Training,glioma
data/raw/Training\glioma\gg (118).jpg,"(512, 512)",False,"(512, 512)",True,False,916a6d69e4839e99,Training,glioma
data/raw/Training\glioma\gg (119).jpg,"(512, 512)",False,"(512, 512)",True,False,916b6c69e496cb98,Training,glioma
data/raw/Training\glioma\gg (12).jpg,"(512, 512)",False,"(512, 512)",True,False,863d7af02dc37186,Training,glioma
data/raw/Training\glioma\gg (120).jpg,"(512, 512)",False,"(512, 512)",True,False,97683b622de26566,Training,glioma
data/raw/Training\glioma\gg (121).jpg,"(512, 512)",False,"(512, 512)",True,False,956a3b6a69602d67,Training,glioma
data/raw/Training\glioma\gg (122).jpg,"(512, 512)",False,"(512, 512)",True,False,956a3e3869702d67,Training,glioma
